shrink,seed,method,mse,spread,alignment
0.1,1,FM-1,0.007788179907947779,0.8628888130187988,0.9724852442741394
0.1,1,FM-50,0.0022494057193398476,0.9784834384918213,0.9859734177589417
0.1,1,MF-1,0.00924437865614891,1.0109312534332275,0.9518900513648987
0.1,1,MF-4,0.007405925076454878,0.9765244126319885,0.9576070308685303
0.1,2,FM-1,0.008424711413681507,0.8589068055152893,0.9673811793327332
0.1,2,FM-50,0.0025747008621692657,0.9600710272789001,0.980287492275238
0.1,2,MF-1,0.0039490265771746635,1.0283712148666382,0.9756972193717957
0.1,2,MF-4,0.007067185360938311,1.010277509689331,0.9604323506355286
0.1,3,FM-1,0.01068733911961317,0.8224651217460632,0.9826144576072693
0.1,3,FM-50,0.0037487908266484737,0.9475944638252258,0.9795483350753784
0.1,3,MF-1,0.005704610142856836,1.017881989479065,0.9682523012161255
0.1,3,MF-4,0.004839492496103048,0.997094452381134,0.9768030047416687
0.1,4,FM-1,0.008715572766959667,0.8382261395454407,0.9827278852462769
0.1,4,FM-50,0.0025022372137755156,0.9626211524009705,0.9815608859062195
0.1,4,MF-1,0.0031442551407963037,0.9793136715888977,0.982096254825592
0.1,4,MF-4,0.0023048026487231255,0.9950001835823059,0.9920170307159424
0.1,5,FM-1,0.010978784412145615,0.8445796966552734,0.9699487686157227
0.1,5,FM-50,0.006021338514983654,0.9672300815582275,0.9703369140625
0.1,5,MF-1,0.0038087519351392984,0.9909973740577698,0.9696235656738281
0.1,5,MF-4,0.0019333992386236787,0.9510855078697205,0.9879481196403503
0.05,1,FM-1,0.03927695006132126,0.6748284101486206,0.9012532830238342
0.05,1,FM-50,0.01574944704771042,0.8802416920661926,0.9233880639076233
0.05,1,MF-1,0.0341225266456604,0.9148282408714294,0.8685437440872192
0.05,1,MF-4,0.02876967191696167,0.84759521484375,0.9014326930046082
0.05,2,FM-1,0.041625965386629105,0.6786121726036072,0.9086112976074219
0.05,2,FM-50,0.018652189522981644,0.8760976195335388,0.931850016117096
0.05,2,MF-1,0.04466197267174721,0.9931625723838806,0.845671534538269
0.05,2,MF-4,0.03695409744977951,0.9495573043823242,0.8715649843215942
0.05,3,FM-1,0.0551040917634964,0.6412423849105835,0.8699052333831787
0.05,3,FM-50,0.03187297657132149,0.8593615293502808,0.8727580904960632
0.05,3,MF-1,0.02360423468053341,0.9605306386947632,0.9032933712005615
0.05,3,MF-4,0.0439574271440506,0.9788612127304077,0.8570535778999329
0.05,4,FM-1,0.04343140497803688,0.6397198438644409,0.9174421429634094
0.05,4,FM-50,0.015858162194490433,0.8477585315704346,0.9346941113471985
0.05,4,MF-1,0.01958484575152397,0.918583869934082,0.9107832908630371
0.05,4,MF-4,0.0159038994461298,0.9142112731933594,0.9355101585388184
0.05,5,FM-1,0.0428396537899971,0.6553847193717957,0.9088947772979736
0.05,5,FM-50,0.019295699894428253,0.8658977150917053,0.9235430955886841
0.05,5,MF-1,0.03028205968439579,0.9732055068016052,0.8712101578712463
0.05,5,MF-4,0.058200206607580185,0.9605681896209717,0.7847776412963867
0.02,1,FM-1,0.14114251732826233,0.41300320625305176,0.5789133310317993
0.02,1,FM-50,0.1182684600353241,0.6724351048469543,0.590448260307312
0.02,1,MF-1,0.20941033959388733,0.8228083848953247,0.5175380706787109
0.02,1,MF-4,0.20427432656288147,0.7665219902992249,0.6099334955215454
0.02,2,FM-1,0.1360127478837967,0.40950897336006165,0.6605595946311951
0.02,2,FM-50,0.08134391903877258,0.6184064745903015,0.7596192359924316
0.02,2,MF-1,0.30621495842933655,1.024645447731018,0.4420323669910431
0.02,2,MF-4,0.24417999386787415,0.8973241448402405,0.49331656098365784
0.02,3,FM-1,0.15531642735004425,0.3868183493614197,0.6244767308235168
0.02,3,FM-50,0.13835805654525757,0.6425221562385559,0.5335567593574524
0.02,3,MF-1,0.1834569275379181,0.7935221791267395,0.47755709290504456
0.02,3,MF-4,0.18841953575611115,0.8025651574134827,0.4047173261642456
0.02,4,FM-1,0.1428140252828598,0.39220234751701355,0.6143299341201782
0.02,4,FM-50,0.09177403897047043,0.5984272956848145,0.70420241355896
0.02,4,MF-1,0.21696610748767853,0.8887356519699097,0.5056961178779602
0.02,4,MF-4,0.20931194722652435,0.8235652446746826,0.39660903811454773
0.02,5,FM-1,0.13700371980667114,0.40039271116256714,0.6336125731468201
0.02,5,FM-50,0.08933588862419128,0.6173184514045715,0.6985675692558289
0.02,5,MF-1,0.15295161306858063,0.7823600172996521,0.42889395356178284
0.02,5,MF-4,0.22060738503932953,0.878197193145752,0.30050593614578247
0.01,1,FM-1,0.21555550396442413,0.37963366508483887,0.25185999274253845
0.01,1,FM-50,0.2563095688819885,0.7263056635856628,0.29559141397476196
0.01,1,MF-1,0.4367726743221283,1.0439586639404297,0.13758277893066406
0.01,1,MF-4,0.3473689556121826,0.8372025489807129,0.19958916306495667
0.01,2,FM-1,0.19395454227924347,0.273726224899292,0.5641109943389893
0.01,2,FM-50,0.1704820841550827,0.4984619915485382,0.5220277309417725
0.01,2,MF-1,0.27915114164352417,0.7387189269065857,0.25441157817840576
0.01,2,MF-4,0.24181310832500458,0.6351607441902161,0.20326781272888184
0.01,3,FM-1,0.20628951489925385,0.274105042219162,0.32420817017555237
0.01,3,FM-50,0.17522616684436798,0.41552212834358215,0.44372284412384033
0.01,3,MF-1,0.3843344748020172,0.9860546588897705,0.18974149227142334
0.01,3,MF-4,0.41465839743614197,1.0366742610931396,0.12214265763759613
0.01,4,FM-1,0.20782974362373352,0.33045896887779236,0.24833384156227112
0.01,4,FM-50,0.1707153469324112,0.4754995107650757,0.4609531760215759
0.01,4,MF-1,0.4791509211063385,1.1960804462432861,0.17089936137199402
0.01,4,MF-4,0.3576149344444275,0.9370915293693542,0.2738264501094818
0.01,5,FM-1,0.22355316579341888,0.44235214591026306,0.428479939699173
0.01,5,FM-50,0.2393215447664261,0.7203302383422852,0.41053423285484314
0.01,5,MF-1,0.2510966956615448,0.7006332278251648,0.1907304972410202
0.01,5,MF-4,0.19638028740882874,0.46397945284843445,0.304524689912796
