shrink,method,mse_mean,mse_std,spread_mean,spread_std,alignment_mean,alignment_std
0.1,FM-1,0.009318917524069548,0.001275501694430778,0.8454133152961731,0.014604364426229288,0.9750315070152282,0.006443300005287835
0.1,FM-50,0.0034192946273833512,0.0014001552145089542,0.963200032711029,0.010034772978282815,0.9795414090156556,0.005113285419931672
0.1,MF-1,0.005170204490423202,0.002206072703125106,1.0054991006851197,0.017899467017886694,0.969511878490448,0.010087147959088048
0.1,MF-4,0.004710160964168608,0.0022950202224531553,0.985996413230896,0.020505102327116685,0.9749615073204041,0.013965731899826547
0.05,FM-1,0.04445561319589615,0.005511367918504094,0.6579575061798095,0.01630870616288759,0.9012213468551635,0.016476086405307736
0.05,FM-50,0.020285695046186446,0.005968150750343131,0.8658714175224305,0.011675067204270388,0.917246675491333,0.022690378260311186
0.05,MF-1,0.030451127886772157,0.008722521383486838,0.9520621657371521,0.03070882864230469,0.8799004197120667,0.023987885368333576
0.05,MF-4,0.036757060512900355,0.01421509986369752,0.9301586389541626,0.046355209329969116,0.870067811012268,0.05042317227974338
0.02,FM-1,0.14245788753032684,0.006906328254341218,0.40038511753082273,0.009934544675215326,0.6223784327507019,0.026617299958585534
0.02,FM-50,0.1038160726428032,0.021268305739021713,0.6298218965530396,0.025492944435758655,0.6572788476943969,0.08264819077460009
0.02,MF-1,0.21379998922348023,0.051367394590722294,0.8624143362045288,0.08914617195595403,0.47434352040290834,0.03455070289021333
0.02,MF-4,0.21335863769054414,0.01856534164731781,0.8336347460746765,0.048193334372871745,0.4410164713859558,0.10421239753677332
0.01,FM-1,0.20943649411201476,0.009888363451894673,0.34005520939826966,0.06460985055239991,0.3633985877037048,0.11978121334451444
0.01,FM-50,0.2024109423160553,0.037498078048285303,0.5672239065170288,0.13031005295387602,0.4265658795833588,0.0748346670890363
0.01,MF-1,0.3661011815071106,0.08819693611619016,0.9330891847610474,0.18765785650091713,0.18867314159870147,0.038086870573575814
0.01,MF-4,0.3115671366453171,0.08020425509767708,0.7820217072963714,0.20719967000975106,0.2206701546907425,0.06373710412184203
